Time [s],Tx,Rx1,Rx2
0.000000000,0,0,0
0.512499700,1,0,0
0.520640100,0,0,0
0.520921170,0,1,0
0.520922030,0,1,1
0.520941480,0,1,0
0.521006420,0,0,0
1.054573560,1,0,0
1.062694560,0,0,0
1.062976070,0,0,1
1.062977820,0,1,1
1.062995420,0,1,0
1.062997240,0,0,0
1.596638430,1,0,0
1.604769450,0,0,0
1.605044630,0,0,1
1.605049220,0,1,1
1.605064020,0,1,0
1.605068670,0,0,0
2.138758660,1,0,0
2.146857090,0,0,0
2.147138900,0,0,1
2.147140880,0,1,1
2.147158230,0,1,0
2.147160250,0,0,0
2.680762330,1,0,0
2.688883670,0,0,0
2.689167250,0,1,0
2.689167920,0,1,1
2.689186620,0,0,1
2.689187310,0,0,0
3.222801090,1,0,0
3.230923840,0,0,0
3.231203220,0,1,0
3.231206660,0,1,1
3.231222660,0,0,1
3.231226030,0,0,0
3.764927410,1,0,0
3.773048950,0,0,0
3.773329590,0,0,1
3.773329980,0,1,1
3.773348940,0,1,0
3.773349310,0,0,0
4.306936650,1,0,0
4.315074130,0,0,0
4.315354520,0,0,1
4.315355930,0,1,1
4.315373980,0,1,0
4.315375260,0,0,0
4.849059440,1,0,0
4.857188730,0,0,0
4.857472890,0,1,0
4.857473810,0,1,1
4.857492280,0,0,1
4.857493100,0,0,0
5.391183800,1,0,0
5.399252360,0,0,0
5.399532670,0,0,1
5.399533550,0,1,1
5.399552090,0,1,0
5.399552890,0,0,0
5.933195920,1,0,0
5.941326270,0,0,0
5.941606200,0,0,1
5.941610280,0,1,1
5.941625630,0,1,0
5.941629700,0,0,0
6.475236140,1,0,0
6.483366040,0,0,0
6.483646670,0,1,0
6.483650190,0,1,1
6.483666090,0,0,1
6.483669530,0,0,0
7.017325170,1,0,0
7.025422060,0,0,0
7.025704080,0,0,1
7.025708040,0,1,1
7.025723460,0,1,0
7.025727380,0,0,0
7.559335850,1,0,0
7.567455710,0,0,0
7.567737920,0,0,1
7.567739540,0,1,1
7.567757360,0,1,0
7.567758850,0,0,0
8.101353290,1,0,0
8.109473030,0,0,0
8.109755820,0,1,0
8.109756740,0,1,1
8.109775210,0,0,1
8.109776150,0,0,0
8.643487020,1,0,0
8.651618770,0,0,0
8.651900650,0,0,1
8.651902100,0,1,1
8.651920020,0,1,0
8.651921540,0,0,0
9.185561320,1,0,0
9.193682710,0,0,0
9.193964640,0,0,1
9.193983970,0,0,0
9.193986450,0,1,0
9.194005910,0,0,0
9.727571900,1,0,0
9.735693680,0,0,0
9.735973420,0,0,1
9.735974970,0,1,1
9.735992850,0,1,0
9.735994300,0,0,0
10.269738160,1,0,0
10.277868820,0,0,0
10.278151120,0,1,0
10.278152540,0,1,1
10.278170450,0,0,1
10.278171960,0,0,0
10.811790850,1,0,0
10.819912870,0,0,0
10.820192380,0,1,0
10.820196010,0,1,1
10.820211860,0,0,1
10.820215350,0,0,0
11.353829650,1,0,0
11.361949870,0,0,0
11.362233670,0,1,0
11.362234860,0,1,1
11.362253130,0,0,1
11.362254290,0,0,0
11.895896910,1,0,0
11.904019830,0,0,0
11.904298780,0,0,1
11.904300090,0,1,1
11.904318190,0,1,0
11.904319500,0,0,0
12.437944800,1,0,0
12.446066670,0,0,0
12.446347700,0,0,1
12.446351250,0,1,1
12.446367070,0,1,0
12.446370630,0,0,0
12.979950190,1,0,0
12.988079580,0,0,0
12.988361420,0,0,1
12.988362600,0,1,1
12.988380790,0,1,0
12.988382010,0,0,0
13.522067690,1,0,0
13.530167980,0,0,0
13.530449140,0,1,0
13.530450460,0,1,1
13.530468560,0,0,1
13.530469870,0,0,0
14.064110940,1,0,0
14.072233030,0,0,0
14.072514360,0,0,1
14.072515260,0,1,1
14.072533700,0,1,0
14.072534590,0,0,0
14.606154730,1,0,0
14.614276590,0,0,0
14.614558210,0,0,1
14.614561570,0,1,1
14.614577540,0,1,0
14.614581020,0,0,0
15.148265920,1,0,0
15.156338310,0,0,0
15.156621980,0,0,1
15.156622600,0,1,1
15.156641370,0,1,0
15.156641970,0,0,0
15.690248700,1,0,0
15.698370740,0,0,0
15.698650170,0,0,1
15.698653480,0,1,1
15.698669500,0,1,0
15.698672820,0,0,0
16.232274040,1,0,0
16.240396600,0,0,0
16.240679480,0,0,1
16.240680320,0,1,1
16.240698850,0,1,0
16.240699700,0,0,0
16.774324420,1,0,0
16.782443940,0,0,0
16.782726410,0,1,0
16.782728290,0,1,1
16.782745850,0,0,1
16.782747660,0,0,0
17.316391000,1,0,0
17.324512670,0,0,0
17.324792120,0,0,1
17.324793080,0,1,1
17.324811490,0,1,0
17.324812540,0,0,0
17.858408400,1,0,0
17.866529880,0,0,0
17.866810940,0,0,1
17.866814040,0,1,1
17.866830330,0,1,0
17.866833500,0,0,0
18.400546000,1,0,0
18.408665520,0,0,0
18.408949720,0,0,1
18.408950410,0,1,1
18.408969090,0,1,0
18.408969820,0,0,0
18.942579740,1,0,0
18.950699550,0,0,0
18.950981740,0,1,0
18.950983520,0,1,1
18.951001210,0,0,1
18.951002850,0,0,0
19.484635770,1,0,0
19.492763500,0,0,0
19.493047190,0,0,1
19.493047710,0,1,1
19.493066640,0,1,0
19.493067080,0,0,0
20.026709610,1,0,0
20.034829530,0,0,0
20.035114320,0,1,0
20.035116040,0,1,1
20.035133730,0,0,1
20.035135450,0,0,0
20.568778580,1,0,0
20.576899160,0,0,0
20.577180050,0,1,0
20.577184910,0,1,1
20.577199510,0,0,1
20.577204280,0,0,0
21.110868560,1,0,0
21.118990870,0,0,0
21.119270570,0,1,0
21.119273520,0,1,1
21.119290090,0,0,1
21.119292940,0,0,0
21.653003210,1,0,0
21.661103200,0,0,0
21.661382490,0,0,1
21.661382780,0,1,1
21.661401900,0,1,0
21.661402200,0,0,0
22.195045470,1,0,0
22.203167470,0,0,0
22.203449200,0,1,0
22.203451180,0,1,1
22.203468550,0,0,1
22.203470560,0,0,0
22.737034410,1,0,0
22.745156840,0,0,0
22.745439960,0,0,1
22.745459480,0,0,0
22.745498100,0,1,0
22.745517490,0,0,0
23.279140130,1,0,0
23.287270480,0,0,0
23.287551470,0,1,0
23.287553480,0,1,1
23.287570860,0,0,1
23.287638340,0,0,0
23.821172060,1,0,0
23.829292540,0,0,0
23.829572500,0,0,1
23.829573050,0,1,1
23.829591920,0,1,0
23.829592420,0,0,0
24.363160190,1,0,0
24.371281740,0,0,0
24.371564190,0,1,0
24.371566210,0,1,1
24.371583580,0,0,1
24.371585620,0,0,0
24.905269990,1,0,0
24.913400640,0,0,0
24.913680160,0,0,1
24.913680730,0,1,1
24.913699620,0,1,0
24.913700110,0,0,0
25.447317520,1,0,0
25.455437170,0,0,0
25.455721610,0,1,0
25.455722970,0,1,1
25.455741040,0,0,1
