event,T0_tx_rise_s,T1_rx1_rise_s,T2_rx2_rise_s,T1-T0_us,T2-T0_us,T2-T1_us,status
1,0.512499700,0.520921170,0.520922030,8421.470,8422.330,0.860,ok
2,1.054573560,1.062977820,1.062976070,8404.260,8402.510,1.750,ok
3,1.596638430,1.605049220,1.605044630,8410.790,8406.200,4.590,ok
4,2.138758660,2.147140880,2.147138900,8382.220,8380.240,1.980,ok
5,2.680762330,2.689167250,2.689167920,8404.920,8405.590,0.670,ok
6,3.222801090,3.231203220,3.231206660,8402.130,8405.570,3.440,ok
7,3.764927410,3.773329980,3.773329590,8402.570,8402.180,0.390,ok
8,4.306936650,4.315355930,4.315354520,8419.280,8417.870,1.410,ok
9,4.849059440,4.857472890,4.857473810,8413.450,8414.370,0.920,ok
10,5.391183800,5.399533550,5.399532670,8349.750,8348.870,0.880,ok
11,5.933195920,5.941610280,5.941606200,8414.360,8410.280,4.080,ok
12,6.475236140,6.483646670,6.483650190,8410.530,8414.050,3.520,ok
13,7.017325170,7.025708040,7.025704080,8382.870,8378.910,3.960,ok
14,7.559335850,7.567739540,7.567737920,8403.690,8402.070,1.620,ok
15,8.101353290,8.109755820,8.109756740,8402.530,8403.450,0.920,ok
16,8.643487020,8.651902100,8.651900650,8415.080,8413.630,1.450,ok
17,9.185561320,9.193986450,9.193964640,8425.130,8403.320,21.810,ok
18,9.727571900,9.735974970,9.735973420,8403.070,8401.520,1.550,ok
19,10.269738160,10.278151120,10.278152540,8412.960,8414.380,1.420,ok
20,10.811790850,10.820192380,10.820196010,8401.530,8405.160,3.630,ok
21,11.353829650,11.362233670,11.362234860,8404.020,8405.210,1.190,ok
22,11.895896910,11.904300090,11.904298780,8403.180,8401.870,1.310,ok
23,12.437944800,12.446351250,12.446347700,8406.450,8402.900,3.550,ok
24,12.979950190,12.988362600,12.988361420,8412.410,8411.230,1.180,ok
25,13.522067690,13.530449140,13.530450460,8381.450,8382.770,1.320,ok
26,14.064110940,14.072515260,14.072514360,8404.320,8403.420,0.900,ok
27,14.606154730,14.614561570,14.614558210,8406.840,8403.480,3.360,ok
28,15.148265920,15.156622600,15.156621980,8356.680,8356.060,0.620,ok
29,15.690248700,15.698653480,15.698650170,8404.780,8401.470,3.310,ok
30,16.232274040,16.240680320,16.240679480,8406.280,8405.440,0.840,ok
31,16.774324420,16.782726410,16.782728290,8401.990,8403.870,1.880,ok
32,17.316391000,17.324793080,17.324792120,8402.080,8401.120,0.960,ok
33,17.858408400,17.866814040,17.866810940,8405.640,8402.540,3.100,ok
34,18.400546000,18.408950410,18.408949720,8404.410,8403.720,0.690,ok
35,18.942579740,18.950981740,18.950983520,8402.000,8403.780,1.780,ok
36,19.484635770,19.493047710,19.493047190,8411.940,8411.420,0.520,ok
37,20.026709610,20.035114320,20.035116040,8404.710,8406.430,1.720,ok
38,20.568778580,20.577180050,20.577184910,8401.470,8406.330,4.860,ok
