event,T0_tx_rise_s,T1_rx1_rise_s,T2_rx2_rise_s,T1-T0_us,T2-T0_us,T2-T1_us,status
1,0.403219060,0.411625180,0.411625800,8406.120,8406.740,0.620,ok
2,0.945347830,0.953761430,0.953759820,8413.600,8411.990,1.610,ok
3,1.487424600,1.495828100,1.495828270,8403.500,8403.670,0.170,ok
4,2.029437260,2.037839350,2.037839720,8402.090,8402.460,0.370,ok
5,2.571577800,,,,,,missing_rx1_rx2
6,3.113677930,3.122076590,3.122079820,8398.660,8401.890,3.230,ok
7,3.655703880,3.664108380,3.664109380,8404.500,8405.500,1.000,ok
8,4.197798850,4.206204750,4.206203170,8405.900,8404.320,1.580,ok
9,4.739848810,4.748251070,4.748246990,8402.260,8398.180,4.080,ok
10,5.281884180,5.290287210,5.290291120,8403.030,8406.940,3.910,ok
11,5.823952500,5.832363910,5.832365020,8411.410,8412.520,1.110,ok
12,6.366006830,6.374409810,6.374408830,8402.980,8402.000,0.980,ok
13,6.908004430,6.916406390,6.916408210,8401.960,8403.780,1.820,ok
14,7.450103050,7.458522660,7.458525790,8419.610,8422.740,3.130,ok
15,7.992144980,8.000548860,8.000550280,8403.880,8405.300,1.420,ok
16,8.534191870,8.542594930,8.542594270,8403.060,8402.400,0.660,ok
17,9.076267970,9.084646580,9.084648350,8378.610,8380.380,1.770,ok
18,9.618300070,9.626702840,9.626701860,8402.770,8401.790,0.980,ok
19,10.160298030,10.168689210,10.168700700,8391.180,8402.670,11.490,ok
20,10.702402180,10.710805530,10.710804790,8403.350,8402.610,0.740,ok
21,11.244449020,11.252851880,11.252852990,8402.860,8403.970,1.110,ok
22,11.786494280,11.794897680,11.794897100,8403.400,8402.820,0.580,ok
23,12.328557720,12.336969080,12.336970940,8411.360,8413.220,1.860,ok
24,12.870597150,12.879000120,12.878999600,8402.970,8402.450,0.520,ok
25,13.412574290,13.420976510,13.420978450,8402.220,8404.160,1.940,ok
26,13.954682090,13.963087730,13.963087570,8405.640,8405.480,0.160,ok
27,14.496754300,14.505159310,14.505156340,8405.010,8402.040,2.970,ok
