event,T0_tx_rise_s,T1_rx1_rise_s,T2_rx2_rise_s,T1-T0_us,T2-T0_us,T2-T1_us,RX1_gap_before_ms,RX2_gap_before_ms,status
1,7.671691910,7.678977860,7.678981830,7285.950,7289.920,3.970,,,ok
2,7.689670150,7.696956220,7.696958790,7286.070,7288.640,2.570,,,ok
3,7.710148110,7.717434640,7.717433330,7286.530,7285.220,1.310,,,ok
4,7.729273380,7.736562190,7.736561930,7288.810,7288.550,0.260,,,ok
5,7.750146360,7.757436520,7.757434230,7290.160,7287.870,2.290,,,ok
6,7.770173300,7.777424080,7.777463770,7250.780,7290.470,39.690,,,ok
7,7.790126960,7.797413000,7.797416120,7286.040,7289.160,3.120,,,ok
8,7.810111460,7.817400460,7.817400220,7289.000,7288.760,0.240,,,ok
9,7.830122460,7.837408590,7.837407940,7286.130,7285.480,0.650,,,ok
10,7.850276960,7.857622590,7.857567270,7345.630,7290.310,55.320,,,ok
11,7.870184620,7.877471480,7.877475510,7286.860,7290.890,4.030,,,ok
12,7.890092200,,7.897377920,,7285.720,,,,missing_rx1
13,7.910101160,7.917387970,7.917387380,7286.810,7286.220,0.590,39.916,,ok
14,7.929272180,7.936560550,7.936560730,7288.370,7288.550,0.180,,,ok
15,7.950153490,7.957437180,7.957438200,7283.690,7284.710,1.020,,,ok
16,7.970162760,7.977450610,7.977452400,7287.850,7289.640,1.790,,,ok
17,7.990124110,7.997411530,7.997410750,7287.420,7286.640,0.780,,,ok
18,8.010062670,8.017349050,8.017349520,7286.380,7286.850,0.470,,,ok
19,8.030218760,8.037508030,8.037506800,7289.270,7288.040,1.230,,,ok
20,8.050121820,8.057411490,8.057411320,7289.670,7289.500,0.170,,,ok
21,8.070056460,8.077343640,8.077344400,7287.180,7287.940,0.760,,,ok
22,8.090094270,8.097383210,8.097382910,7288.940,7288.640,0.300,,,ok
23,8.110147660,8.117435810,8.117435410,7288.150,7287.750,0.400,,,ok
24,8.130082540,8.137368980,8.137368800,7286.440,7286.260,0.180,,,ok
25,8.150128310,8.157418100,8.157417100,7289.790,7288.790,1.000,,,ok
26,8.170200350,8.177486670,8.177483580,7286.320,7283.230,3.090,,,ok
27,8.190035850,8.197323960,8.197324780,7288.110,7288.930,0.820,,,ok
28,8.210007090,8.217292520,8.217293090,7285.430,7286.000,0.570,,,ok
29,8.230064630,8.237351690,8.237418370,7287.060,7353.740,66.680,,,ok
30,8.250089610,8.257379960,8.257378660,7290.350,7289.050,1.300,,,ok
31,8.269420310,8.276707400,8.276707470,7287.090,7287.160,0.070,,,ok
32,8.289761940,8.297049110,8.297054310,7287.170,7292.370,5.200,,,ok
33,8.310208880,8.317493860,8.317494220,7284.980,7285.340,0.360,,,ok
34,8.330079980,8.337368450,8.337368360,7288.470,7288.380,0.090,,,ok
35,8.350113290,8.357401780,8.357401820,7288.490,7288.530,0.040,,,ok
36,8.370279270,8.377564240,8.377565350,7284.970,7286.080,1.110,,,ok
